venta_id,producto_id,cantidad,subtotal
68,621,7,764.96
69,53,10,396.3
70,211,2,140.46
70,781,4,1398.04
71,178,5,1030.4
72,403,4,213.08
72,497,5,1621.9
73,932,2,733.52
73,920,4,797.0
73,796,6,1552.68
73,586,1,375.65
73,311,5,760.95
74,197,2,229.58
74,993,7,2740.78
74,524,5,406.45
74,808,10,1921.8
75,521,10,227.6
76,716,5,486.95
76,173,10,3160.2
77,463,7,1355.97
78,19,4,1331.64
79,482,10,2933.4
79,282,1,32.27
79,365,1,118.7
80,540,1,86.56
80,647,8,1149.76
80,463,9,1090.71
81,837,4,1446.56
81,262,2,231.34
81,522,5,1847.05
81,92,8,3167.28
81,599,3,113.97
82,499,9,1663.29
83,243,6,1360.56
83,434,8,1302.24
83,324,10,844.6
83,717,5,1317.15
84,688,5,484.4
84,837,5,172.1
85,22,6,2025.0
85,290,7,718.48
85,869,2,536.62
85,667,3,860.64
85,648,6,792.12
86,9,8,1832.72
87,555,6,959.52
88,916,6,1824.9
88,270,4,1218.64
88,524,2,220.7
88,918,6,73.74
89,867,2,726.6
89,228,8,1495.68
90,739,1,109.44
90,650,8,1837.44
90,979,8,658.0
90,946,6,1449.72
91,931,1,164.03
91,34,4,1330.52
91,922,4,246.36
92,631,10,3292.9
92,122,9,2655.81
93,32,8,881.92
93,895,1,128.05
94,265,2,489.24
94,751,7,1255.59
94,70,4,610.52
94,521,2,281.08
94,518,10,3290.9
95,558,8,1552.56
95,328,3,188.58
95,41,8,2381.2
95,851,8,990.24
95,364,2,381.88
96,722,5,124.85
96,200,3,536.43
96,415,8,791.52
96,324,8,2937.68
97,712,1,396.5
97,373,5,1851.4
97,680,9,1956.87
97,417,10,2106.3
98,10,10,2012.2
98,241,8,2348.56
98,65,4,295.28
98,307,2,694.28
98,613,7,366.94
99,357,8,506.32
99,427,7,1390.2
99,717,6,743.88
100,516,2,461.6
100,302,6,1827.18
100,656,7,797.02
101,187,2,185.6
101,27,3,1045.59
102,536,10,420.9
102,651,5,647.0
103,420,2,685.84
103,745,7,1850.31
103,816,8,1078.8
104,543,10,911.5
104,425,1,91.13
105,923,10,2359.3
105,170,9,886.5
106,824,4,91.16
107,265,9,1745.55
107,968,2,27.88
107,738,3,54.72
108,239,5,1312.75
109,624,4,1233.68
109,776,6,441.24
109,910,4,333.0
109,869,10,3729.2
109,572,10,3312.6
110,277,7,2105.67
110,159,4,75.84
110,148,6,1855.26
111,401,5,963.15
111,980,8,2026.32
111,143,2,185.14
111,478,2,689.76
111,550,2,333.5
112,504,3,56.52
112,474,4,1132.2
112,14,8,1644.48
113,203,5,501.1
114,371,3,140.85
114,252,7,2701.51
114,308,5,1654.9
115,529,9,2603.97
116,755,3,1054.41
117,173,4,1329.8
117,304,3,680.25
117,686,9,983.25
117,720,3,515.82
117,107,4,1184.56
118,521,5,435.6
118,296,9,3161.79
118,417,6,2344.26
118,911,2,91.58
119,701,6,208.74
120,219,9,1410.12
121,350,3,476.4
121,229,2,89.6
121,714,4,233.92
122,885,6,2265.66
122,333,10,1444.8
122,741,8,768.16
122,840,6,1774.74
123,899,5,1168.45
124,424,5,1238.0
125,417,1,224.72
125,132,6,535.68
125,922,4,695.16
125,69,3,340.83
126,484,9,3470.4
126,669,3,587.37
126,637,3,847.29
127,305,4,1060.2
127,110,7,2523.71
127,875,1,202.15
128,60,1,10.55
128,236,1,127.93
128,922,2,61.24
129,640,8,2608.32
129,526,7,2206.05
129,457,3,893.85
129,466,4,176.64
130,188,6,1620.6
130,291,7,1633.45
131,738,7,2678.13
131,956,3,91.86
131,97,4,1019.56
131,362,6,198.84
131,992,6,1509.96
132,554,2,76.64
132,704,10,3489.1
132,809,2,426.62
132,705,2,394.42
133,678,1,317.69
134,763,9,975.15
135,735,5,1606.3
135,815,4,1031.24
135,116,5,1710.25
136,685,1,64.73
136,982,7,1621.06
137,585,8,1356.72
137,55,7,2562.07
137,763,4,388.24
137,238,10,2830.1
137,720,10,2587.2
138,406,8,2301.68
138,165,10,1218.4
138,986,2,163.5
139,657,2,230.24
139,98,9,1743.66
139,615,4,746.88
139,58,8,2975.44
140,264,6,2166.0
141,757,8,227.92
142,972,2,441.6
142,46,8,2998.32
142,547,3,195.15
142,653,2,417.1
143,126,3,97.5
143,335,2,323.56
143,603,5,582.3
144,669,4,884.0
144,624,10,1423.0
144,448,9,1223.28
145,525,2,188.62
145,665,6,1975.2
145,281,7,1575.63
146,704,5,1748.45
146,351,5,377.95
146,700,5,145.9
146,455,6,340.38
147,646,8,1486.88
147,739,6,1083.78
147,656,3,316.32
147,363,10,3997.0
148,107,3,585.24
148,129,9,2719.17
148,442,10,2403.1
148,185,3,147.87
149,191,8,2058.56
149,884,7,268.66
149,65,5,1450.35
149,489,10,311.8
150,992,2,765.12
150,829,4,1043.4
150,567,8,1384.08
150,655,4,573.12
151,316,8,476.96
151,34,8,2409.12
151,787,6,948.96
151,49,2,577.86
152,957,7,2473.03
153,210,3,815.91
153,333,6,963.36
153,326,6,747.0
154,370,1,95.98
154,995,2,217.62
154,445,9,1219.41
154,957,2,513.5
155,887,10,1028.8
155,68,5,1523.0
155,612,4,725.92
155,303,4,625.6
155,917,6,472.2
156,968,7,1497.16
156,282,9,3071.34
156,969,6,104.58
156,128,3,542.25
156,805,2,381.26
157,718,2,482.2
157,42,1,68.2
158,198,6,818.58
158,181,9,313.47
159,800,3,105.36
159,826,6,670.98
160,909,10,3699.7
161,319,4,435.4
161,981,2,243.76
162,288,8,1488.72
162,44,10,2319.9
162,943,4,615.28
162,736,10,2980.7
162,982,6,183.48
163,439,6,2297.88
163,416,3,404.31
164,153,3,1083.33
165,809,9,238.23
165,751,4,1558.36
166,443,10,2544.1
167,468,5,747.6
167,519,6,1061.4
167,556,3,1166.04
167,684,5,872.0
168,616,3,869.31
168,738,9,1180.17
168,231,5,1683.65
169,84,9,137.88
169,29,5,657.35
169,663,1,27.41
169,340,1,250.41
170,884,3,82.56
170,183,1,332.43
170,32,9,2270.25
170,850,6,875.46
171,522,10,3419.0
171,239,9,2170.53
171,260,6,568.2
171,768,9,2050.2
172,175,9,2779.02
172,715,9,1263.6
172,484,6,886.02
172,735,2,127.34
172,408,9,1217.97
173,212,5,153.4
173,118,10,3941.9
173,713,9,2463.57
173,334,1,277.79
174,646,8,802.96
175,97,7,2474.08
176,23,9,3539.7
176,795,6,643.86
177,727,8,350.88
177,419,4,397.92
177,766,9,594.36
177,400,2,692.16
178,313,10,1733.6
178,278,4,130.16
178,549,2,386.38
179,682,5,353.4
179,191,7,894.39
179,999,3,428.22
179,649,2,467.64
180,721,1,328.23
180,646,1,344.68
180,324,4,1330.68
180,855,4,518.76
181,318,10,2946.1
181,319,9,2360.43
181,967,8,2659.68
182,634,6,1393.5
182,43,4,943.4
182,846,1,388.73
183,856,3,885.96
183,285,7,670.88
184,876,7,962.29
184,88,9,1680.75
184,201,2,529.2
184,826,5,1605.4
184,795,7,630.49
185,908,7,819.21
186,465,6,1615.74
186,394,7,1126.86
186,486,8,1408.24
187,492,9,1018.89
187,76,1,153.91
187,87,1,173.76
187,196,2,171.62
187,16,10,3382.1
188,280,7,1158.43
188,251,4,898.2
188,317,1,111.41
188,26,6,1844.34
188,554,3,1122.93
189,700,7,273.56
189,199,8,2383.76
189,135,9,330.21
189,318,10,2986.9
190,505,7,1100.12
190,659,8,406.64
190,155,6,2393.34
191,348,8,1232.56
191,111,1,382.96
191,853,9,268.38
191,638,2,523.26
191,189,10,686.5
192,439,8,121.44
192,197,9,934.74
192,844,4,422.08
192,499,10,3954.2
192,24,10,410.7
193,407,5,217.8
193,606,5,902.2
193,129,6,132.24
194,66,6,660.72
195,349,10,2918.1
195,117,10,644.7
195,651,9,1219.77
196,1000,8,2521.52
196,934,4,449.04
196,819,9,1304.64
196,538,7,2411.92
197,789,1,355.02
197,895,7,1695.12
197,437,8,2503.28
197,753,3,98.04
198,157,2,20.16
199,919,5,176.35
199,749,9,3401.64
200,526,9,519.39
200,879,4,407.28
200,567,8,1814.64
200,92,2,148.6
201,995,8,2527.36
201,474,7,1808.8
201,854,10,1617.9
202,571,6,164.82
202,933,8,1802.24
202,907,10,2285.6
202,168,6,64.14
203,854,7,1071.49
203,237,3,1107.09
204,13,2,500.4
204,995,10,567.0
204,354,9,3275.37
204,266,3,83.07
204,278,2,400.64
205,59,6,1731.96
205,313,7,695.66
206,46,6,1939.8
206,744,2,528.48
207,881,6,1887.78
207,229,8,1444.72
207,412,3,1172.13
207,444,6,1160.4
207,383,9,2547.0
208,776,5,297.75
208,345,5,227.7
208,969,3,278.25
208,427,3,259.77
209,786,9,1067.22
210,116,2,342.0
210,161,9,742.86
211,635,8,1314.8
212,369,3,712.98
212,401,5,108.65
212,135,4,226.08
212,313,10,955.0
213,436,6,1679.64
214,381,7,2471.21
214,258,10,990.6
214,137,10,1486.6
215,131,5,1636.9
215,384,1,250.3
215,741,9,382.95
215,718,9,122.85
215,537,5,184.35
216,216,5,196.95
217,538,1,196.13
218,985,7,131.74
218,833,6,1245.96
218,156,7,992.04
219,573,5,582.25
219,183,5,1979.0
219,174,2,90.52
220,555,3,636.87
220,102,9,3216.06
220,653,10,2822.3
220,587,1,348.73
220,272,1,322.45
221,635,1,348.77
221,150,6,594.24
221,379,5,524.75
221,801,8,1017.12
221,647,8,769.52
222,493,6,1354.74
222,652,9,1351.35
223,421,1,174.51
223,953,3,275.4
224,538,9,1349.73
224,55,9,2928.6
224,745,10,786.4
225,608,10,883.0
226,402,4,1060.44
226,795,8,1313.12
226,677,7,1505.07
226,22,9,1818.0
227,93,4,346.44
227,319,7,372.12
227,119,1,154.46
227,910,2,551.48
227,26,4,629.12
228,568,6,2202.42
228,611,8,3010.88
228,274,3,685.47
228,10,7,2474.99
228,202,8,1463.44
229,705,7,388.22
229,317,10,207.7
229,226,2,311.08
229,516,4,1304.2
230,878,5,1877.65
230,582,9,1747.89
230,87,1,132.85
230,403,6,1495.62
230,923,10,1941.8
231,488,3,832.83
231,548,7,2291.8
231,14,5,835.05
231,249,8,2554.88
231,837,8,2723.12
232,812,8,2115.44
232,746,5,503.3
232,530,8,415.12
233,900,3,747.93
234,758,6,1753.32
234,747,6,1508.1
234,143,1,114.49
235,785,4,723.76
235,384,2,608.3
236,632,8,2189.6
236,193,7,1563.52
236,294,3,992.73
237,632,10,2991.4
238,779,4,258.92
238,352,2,757.5
238,407,4,1164.44
238,680,5,566.3
239,556,6,137.04
239,227,6,1166.58
240,559,8,1266.88
241,229,1,240.34
241,896,1,79.16
241,308,8,1862.0
241,34,10,2212.3
242,514,5,1492.55
242,670,6,1486.56
242,687,2,31.06
242,572,1,259.08
243,776,10,1936.5
243,621,8,1265.36
244,187,10,2369.4
244,157,1,25.27
244,480,1,345.78
244,501,3,628.77
244,929,1,32.64
245,982,1,304.85
245,380,7,513.45
245,342,2,718.98
246,860,2,643.0
246,165,5,551.0
246,870,9,2188.98
246,556,7,2099.79
247,438,4,1024.68
248,721,2,409.24
248,203,2,365.16
248,486,1,265.38
249,311,7,1045.94
249,931,3,565.05
249,22,9,1467.81
249,660,2,101.96
249,458,6,726.66
250,116,5,1896.35
250,640,6,1850.52
250,387,8,1101.6
250,396,8,1203.36
251,474,10,1074.5
252,671,4,314.16
252,555,3,756.18
252,746,10,2415.9
253,11,8,2930.96
253,42,4,700.64
253,828,6,64.92
253,728,6,1317.96
253,484,7,367.92
254,714,2,201.54
254,720,9,2138.67
255,644,1,46.08
255,385,6,2190.54
255,561,8,1024.4
255,432,5,602.15
255,335,9,1996.02
256,857,4,305.52
256,452,3,879.21
256,693,10,3612.0
256,339,5,1878.45
256,142,10,3825.1
257,207,2,747.44
257,126,7,1594.46
258,393,2,313.04
258,30,2,457.04
259,488,8,2054.4
259,100,8,2522.08
260,678,5,841.85
260,235,1,98.24
261,419,7,564.27
261,943,9,1430.28
261,756,3,223.05
262,336,9,3341.25
262,373,1,37.49
263,889,7,1889.3
263,310,1,341.26
263,80,4,1445.96
264,934,2,283.76
265,685,6,64.8
265,71,10,2491.5
265,177,7,1036.98
265,488,4,933.4
265,60,10,2366.2
266,246,8,2903.12
266,925,9,303.57
266,502,10,692.5
266,559,8,724.08
266,497,1,215.01
267,424,3,88.89
268,311,6,503.46
268,574,7,880.53
268,744,8,996.32
268,684,7,1544.62
269,634,3,617.58
269,924,4,920.72
270,682,9,130.68
270,877,4,1145.8
271,705,8,1022.08
271,169,9,2055.33
271,11,1,92.89
271,493,1,155.68
271,22,7,709.45
272,405,9,2147.04
273,497,9,277.74
274,552,8,2694.4
275,53,1,87.66
275,831,2,701.24
275,846,4,302.68
275,881,4,982.28
275,527,9,2692.35
276,947,1,113.46
276,27,2,765.48
276,562,7,1809.43
276,674,7,2419.62
276,957,7,2340.59
277,10,9,2654.01
278,859,1,34.59
278,624,9,1758.69
278,970,5,1504.9
279,646,2,187.76
279,584,9,1453.59
279,590,1,160.87
280,575,3,441.27
280,419,5,449.1
280,112,2,534.9
280,748,2,695.16
280,52,7,2061.5
281,557,7,731.5
281,181,10,3281.2
281,192,5,1773.15
281,878,2,374.36
281,533,10,3991.3
282,705,7,968.38
282,47,9,1420.65
283,147,9,669.69
283,248,6,1714.74
283,139,7,1389.5
283,700,10,3312.8
283,445,8,2961.76
284,91,6,1435.02
284,127,7,2315.32
284,763,8,3024.8
285,284,2,335.58
285,850,7,178.57
285,60,7,955.43
285,807,5,1278.4
285,37,9,1874.97
286,802,2,666.22
286,262,2,244.14
287,825,4,333.32
287,695,2,113.72
287,342,1,356.33
288,92,7,1279.32
288,749,8,1491.6
288,1,7,2464.63
289,839,4,1083.92
289,268,6,2173.86
289,416,7,442.4
290,916,3,326.28
290,935,9,317.61
290,982,9,1832.49
290,132,7,1158.36
290,434,7,2160.83
291,48,8,2144.16
291,711,10,3807.5
291,618,6,1633.92
292,536,8,2694.4
292,819,2,538.04
292,718,7,376.39
292,561,8,3045.2
292,835,8,150.16
293,932,10,615.8
293,922,5,589.25
294,626,5,857.05
294,737,6,381.9
294,18,7,1014.44
295,688,5,502.15
295,633,5,656.2
296,544,1,213.04
296,494,10,1960.1
297,395,7,2424.59
297,301,10,2815.6
298,138,1,200.0
299,651,5,1800.8
299,475,3,1124.67
300,633,8,271.12
300,44,5,710.9
300,107,9,2956.68
300,833,7,2491.23
300,498,1,158.37
301,31,6,1851.36
301,24,8,1301.36
301,489,3,958.98
301,334,10,3386.7
301,716,7,2115.89
302,813,2,723.82
303,25,5,470.3
303,544,1,69.25
303,524,2,712.34
303,535,4,1275.68
303,532,5,1965.3
304,963,1,121.83
305,494,3,499.8
306,165,9,3255.12
306,168,4,1065.08
307,502,5,722.75
307,77,7,2131.64
307,118,2,529.9
307,705,4,1055.68
307,812,3,762.78
308,455,9,1622.34
308,936,1,163.8
309,277,8,2772.48
309,32,3,653.13
309,256,2,156.82
310,517,6,853.32
310,825,4,932.8
310,537,7,764.47
311,858,2,399.68
311,756,6,1671.9
311,397,6,1833.78
311,384,9,2521.26
311,411,10,2160.1
312,283,9,2793.33
312,466,5,1088.9
312,810,2,769.22
312,447,5,1792.95
312,794,10,2495.2
313,706,9,1363.68
314,795,4,896.8
314,353,2,199.2
315,281,3,557.13
315,805,10,388.2
315,562,9,1631.88
315,590,5,115.15
315,793,1,354.19
316,301,7,758.24
316,296,1,201.14
316,992,8,2449.68
316,670,8,1102.88
316,812,7,1130.92
317,688,4,1503.4
317,312,9,3128.4
317,439,7,1559.18
318,642,10,3075.6
319,96,3,992.25
319,240,7,2684.01
319,648,1,306.96
319,429,3,1124.25
320,820,3,508.59
320,652,8,1504.24
320,661,4,609.84
321,280,7,123.06
321,389,1,44.6
321,55,1,294.74
321,254,8,1271.12
322,674,9,2101.86
322,78,10,1890.2
322,837,3,75.0
322,823,5,1307.4
322,639,4,794.6
323,906,4,1413.4
324,640,7,2794.26
324,902,1,120.87
325,896,10,2267.9
326,960,7,313.67
326,267,5,203.7
326,965,10,292.5
327,52,6,1809.84
328,767,2,796.64
328,245,1,252.01
328,849,4,91.88
329,105,2,45.9
329,380,2,537.78
330,953,2,580.32
330,44,3,556.59
330,592,2,786.66
330,707,9,409.32
330,330,9,234.9
331,36,4,542.04
331,745,5,868.9
331,295,8,2549.28
331,757,3,625.95
332,402,10,2184.4
332,839,5,1907.25
332,715,6,2177.88
332,48,3,415.14
333,796,10,3397.8
334,17,9,2935.17
334,449,7,1024.73
335,597,7,1945.3
335,414,3,592.5
335,375,7,687.61
335,124,5,115.95
336,396,1,82.0
337,30,9,188.82
338,823,7,1899.87
339,176,10,2974.9
340,948,10,822.1
340,946,3,901.86
341,700,4,1321.68
342,975,7,1466.5
343,137,2,389.96
343,636,3,584.46
344,451,6,2053.86
344,548,3,706.98
344,599,9,2238.39
344,613,5,261.5
344,33,1,237.64
345,21,1,243.86
345,190,3,59.55
345,549,5,1542.85
345,519,7,2215.15
346,197,3,466.68
346,534,8,104.0
347,78,10,3918.5
348,966,3,715.02
348,993,3,423.57
348,988,6,1461.36
348,667,4,69.52
349,234,4,461.24
350,891,2,219.72
350,116,9,3009.15
351,311,6,136.08
351,55,8,290.16
351,284,2,707.04
352,213,7,738.22
353,920,5,1317.45
353,574,3,353.67
354,715,2,170.58
354,567,8,1989.92
354,943,4,679.96
354,494,5,1692.95
354,116,10,503.9
355,473,5,469.85
355,850,2,511.34
355,600,2,795.98
355,51,1,288.47
356,593,8,2673.76
356,702,7,1349.6
356,50,10,2578.2
356,795,2,298.06
357,66,8,926.72
357,743,2,613.92
357,567,3,1184.79
357,217,10,484.3
358,805,8,1230.8
359,899,8,909.28
359,665,3,300.6
359,159,7,500.01
359,387,4,757.24
360,477,2,289.82
360,28,3,587.46
360,319,2,659.36
361,456,7,1050.63
361,190,3,1095.81
361,803,9,2714.04
362,49,8,1901.2
362,272,2,249.3
362,936,9,3011.49
362,788,4,1012.2
362,135,8,483.12
363,617,8,825.28
363,42,1,120.3
364,197,7,2632.14
364,624,4,452.64
364,672,6,1973.76
364,913,3,256.35
365,857,6,1599.42
365,186,7,240.52
365,150,5,991.0
366,892,10,1263.6
366,946,10,2703.5
366,84,1,207.48
366,433,9,2357.82
367,86,5,505.1
367,973,2,90.12
368,246,7,840.63
368,187,7,257.74
368,517,10,2604.1
369,480,10,3230.9
369,610,10,2312.7
370,743,2,619.4
370,867,4,270.72
371,233,1,277.94
372,608,9,3086.19
372,671,4,1303.72
372,898,1,369.46
372,264,1,337.87
372,260,6,1313.64
373,826,4,1150.92
373,4,10,3735.7
373,654,2,53.52
374,218,5,949.0
375,507,3,1146.3
376,186,8,3055.36
376,112,8,2080.32
376,84,10,3705.1
376,526,9,2308.86
376,566,2,308.48
377,972,6,2077.44
378,905,3,60.81
378,784,9,582.84
378,458,6,1172.82
378,360,5,1708.15
378,674,4,1069.88
379,778,3,331.32
379,593,2,267.92
379,917,9,2675.52
379,27,8,2077.36
379,799,5,1257.4
380,346,10,1058.9
380,552,3,1033.53
380,404,6,239.4
380,672,7,1856.75
380,514,9,2624.58
381,944,4,867.44
382,478,5,1070.95
382,735,8,2540.08
383,592,6,1451.76
383,672,7,1152.62
383,614,1,19.93
383,542,2,79.18
383,561,1,178.25
384,458,6,414.18
384,67,3,476.76
384,378,2,478.36
384,991,1,236.1
385,946,5,525.65
385,214,9,290.7
386,959,2,193.24
386,91,7,2684.36
386,564,10,3747.0
386,494,7,1802.08
386,402,4,558.32
387,205,7,499.59
388,209,5,1403.9
388,626,10,1344.3
388,683,7,1501.22
389,406,2,261.7
389,63,8,838.0
390,123,9,3249.54
390,766,7,1498.07
390,461,10,1424.5
391,522,6,1001.4
392,699,9,1437.84
392,848,3,1184.19
392,600,9,1729.8
392,391,7,938.07
393,879,2,639.06
393,461,1,253.17
393,670,1,164.23
393,15,6,1849.38
394,568,7,1709.05
394,707,7,1684.69
395,881,10,2531.8
395,397,10,1731.8
395,107,8,1062.72
395,565,9,1958.94
395,965,9,504.36
396,969,9,2652.48
396,177,8,2227.2
396,83,3,209.88
396,62,7,2620.38
396,766,5,940.85
397,263,8,1964.48
397,343,5,491.45
398,260,4,1158.32
398,530,7,164.36
398,365,2,299.82
398,842,9,2471.94
398,54,4,511.04
399,300,10,3487.6
400,481,1,16.67
400,802,8,1318.64
400,277,7,2175.88
400,670,4,1163.28
400,211,8,1498.72
401,248,10,1655.9
401,890,2,228.86
402,25,4,468.68
402,93,3,1137.3
402,870,8,2782.96
402,755,3,194.88
403,720,5,1369.6
403,377,3,692.01
404,723,2,553.94
404,804,7,304.78
404,627,2,451.18
405,558,1,372.86
405,723,7,1162.77
406,470,9,2254.32
406,543,2,573.5
406,386,1,92.14
406,147,8,2106.56
407,440,7,1897.0
407,7,10,3368.3
408,685,3,282.27
408,588,9,2740.23
408,330,3,440.19
408,855,9,1846.08
409,521,2,502.3
409,107,2,33.9
410,923,9,3599.19
410,333,8,106.32
410,13,9,2767.5
410,79,5,96.95
410,63,6,1615.86
411,449,3,572.19
411,315,5,642.65
411,361,6,321.96
412,645,1,135.9
412,105,5,859.85
412,100,4,189.96
412,674,3,1113.27
412,659,3,342.12
413,227,9,2418.48
413,916,5,1115.4
413,679,7,2544.57
414,525,8,2882.56
414,979,9,1487.16
414,848,4,63.6
414,356,2,406.38
414,980,3,1182.87
415,539,5,894.8
415,53,4,712.36
415,994,4,1325.84
416,683,8,2347.12
416,633,9,1345.77
416,607,3,162.75
416,66,8,509.6
417,825,5,744.7
417,50,5,376.6
417,876,4,526.64
417,489,1,273.0
418,382,8,2051.76
418,430,8,2249.12
418,873,6,2308.98
419,761,1,306.21
419,707,8,1934.96
419,954,3,608.82
419,177,2,593.96
419,653,5,1408.8
420,787,7,1671.53
421,37,7,2198.42
421,517,6,645.12
421,530,2,751.8
421,885,7,839.37
421,48,5,614.8
422,234,9,3588.12
423,786,8,1381.68
423,55,3,598.68
423,324,10,3856.4
423,712,4,997.88
423,185,6,815.34
424,747,2,537.0
424,186,2,440.48
424,648,10,461.9
425,386,10,2023.7
426,22,9,1232.28
426,208,7,89.32
426,290,6,241.38
426,938,1,136.57
427,213,10,3866.3
427,657,3,370.17
427,444,9,3040.83
428,763,2,574.36
429,240,2,593.5
429,317,5,293.9
429,253,4,269.88
429,775,9,1588.86
429,852,5,404.55
430,598,2,350.66
430,341,8,2815.12
430,369,10,3153.5
430,224,6,1473.78
430,617,7,787.01
431,676,3,621.78
431,358,3,990.6
431,211,9,1800.27
432,152,10,455.1
432,674,2,564.38
433,174,4,888.76
433,325,6,361.86
433,911,6,642.84
434,661,8,132.16
434,210,10,2086.9
434,116,2,465.22
434,512,4,1039.2
434,689,4,1005.92
435,13,9,2969.82
436,189,6,183.48
436,135,3,368.31
436,179,8,2077.76
436,714,9,2017.98
437,573,10,756.8
438,797,1,389.72
438,253,1,251.72
438,149,4,479.48
438,106,7,901.18
439,620,6,573.84
439,426,7,1385.3
440,431,3,83.22
440,86,7,2017.61
441,836,7,1658.09
442,624,5,1962.4
443,990,6,1937.34
444,63,5,1539.15
445,331,8,742.88
445,264,2,213.32
445,522,10,344.4
445,429,3,1055.19
446,351,2,435.68
446,548,5,791.9
446,683,10,3505.6
446,900,5,1714.3
447,361,3,577.68
448,292,4,409.08
448,786,9,1313.37
448,853,4,616.08
448,67,10,3972.0
448,622,2,282.6
449,396,10,471.2
449,309,3,1191.81
449,744,5,1365.45
449,672,10,740.0
450,826,2,169.54
450,840,3,78.84
